tract,male_female_ratio,total_pop,median_age,median_income,mean_travel_time
10300,1.29,6491,21.6,22292,15.4
20100,0.87,4212,28.9,72642,17.7
20300,1.15,821,34.3,93125,18.6
30500,0.87,2292,40.3,18730,22.3
40200,0.49,1609,24,16250,17.4
40400,0.87,1977,27.9,24803,20.1
40500,0.59,3724,21.4,17275,16.1
40600,1.02,1938,22.2,19659,20.1
40900,1.68,3007,23.2,21940,20.2
50100,0.55,2087,35.5,19608,29.9
50600,0.60,1772,54.2,36642,19.7
50900,0.62,1367,26.3,14281,26.9
51000,0.97,2163,19.9,16373,18.3
51100,1.03,187,38.8,20313,18.3
60300,0.95,2533,33.3,51964,22.3
60500,1.09,1299,37.2,36786,17.8
70300,0.79,2024,29.4,56136,19.6
70500,0.89,3161,27.3,50838,22.8
70600,1.08,1978,29.6,48719,22.2
70800,1.04,1851,30.5,50972,23.8
70900,1.29,4594,27.4,30359,21.7
80200,0.94,1640,33.1,40784,29.8
80400,1.87,1469,28.4,32750,20.3
80600,0.90,2098,30.8,55611,23.7
80700,0.82,1927,30,35057,21.3
80900,0.93,1788,31.7,51458,23.5
90100,1.04,1858,33.2,52708,25.4
90200,0.91,2789,38.6,53115,22.1
90300,0.99,1680,31.9,37372,23.2
100500,0.87,2145,39.4,46308,22.9
101100,0.98,2536,31.8,37500,23.9
101400,0.82,3299,39.1,50283,24.5
101600,0.65,1071,22.9,27019,31
101700,0.86,1405,35.9,33494,21.9
101800,0.90,2539,44.7,57500,22.4
110200,1.02,4326,35.7,51563,25.2
110600,0.89,2559,36.2,65104,23.4
111300,0.97,2698,34.3,37114,28.7
111400,0.77,1388,36.2,26518,27.6
111500,0.66,3000,30.9,24073,21.7
120300,0.78,1661,43.9,29444,29.1
120400,0.90,694,42.1,16786,31.3
120700,0.61,863,54.1,24083,19.4
120800,1.11,758,53.3,26875,34.7
130100,0.72,1757,28.1,16250,24.8
130200,0.63,1518,27.5,32650,29
130300,0.61,1413,43.4,16200,25.7
130400,0.69,1069,32.6,24141,24.4
130600,0.70,2804,38.2,22465,30.1
140100,1.18,5367,20.5,164886,16.1
140200,0.70,2481,26.4,66250,19
140300,1.04,3629,33.9,106175,20.6
140400,0.89,2355,42.5,129432,21.1
140500,0.96,1887,32.4,58405,18.8
140600,0.89,3204,37.3,75982,25.1
140800,1.03,4651,34.4,70231,21.4
141000,1.10,1059,40.1,67188,26.4
141100,1.14,1321,44.7,65313,25.5
141300,0.90,5399,33.1,46414,23.6
141400,0.76,5690,38.9,64970,22.7
151600,0.89,2702,36.8,64236,23.1
151700,0.97,5257,33.8,62329,23.2
160800,1.47,2927,30.7,44878,26
160900,1.03,3284,28.6,53992,20.6
170200,1.40,3506,28.3,48837,22
170600,1.66,1729,33.3,45508,25.1
180300,0.68,2293,34.5,27656,23.6
180700,1.21,2200,33.8,38576,20
190300,1.07,1857,40,68558,24.1
191100,1.06,2581,36.8,62036,22.2
191400,0.82,2736,31.9,44792,28.5
191500,1.36,1885,30.9,37301,28
191600,1.07,4378,39.6,49556,25.9
191700,1.03,3732,36.2,52667,25.8
191800,0.97,5278,38.8,56364,25.4
191900,1.04,1904,38.1,50568,26.9
192000,0.91,3785,38.7,45441,24.3
202200,0.93,2923,34.9,43750,23.6
202300,1.00,3876,41.3,60820,20.4
210700,0.85,2072,34.3,40711,21.7
220600,1.04,1636,39,41076,21
240600,1.03,2222,39.5,44028,24.3
241200,1.21,823,49.4,31314,24.9
250300,1.06,1320,32.9,39500,22.7
250700,0.87,712,34.2,20000,22.6
250900,1.02,1149,37.3,26332,25.3
260200,1.15,2072,37.5,45075,25.9
260700,1.03,1696,41.1,52500,24
260900,0.75,1440,21.9,12742,29.7
261200,0.98,1129,43.9,65000,20.5
261400,1.03,1903,46.8,30366,26.6
261500,0.90,1478,38.2,32768,28.6
262000,0.88,2579,35.9,26339,22.5
270100,0.82,2451,38.3,52931,21.4
270300,0.88,2002,45.3,38393,22.4
270400,1.13,996,41.1,41087,20.4
270800,1.00,2506,47.5,65709,23.1
271500,0.93,2705,30.7,36364,26.4
281400,0.75,2546,33.5,35417,25.4
281500,0.89,1381,38.8,49405,24.6
290100,0.95,2066,37.1,34840,27.4
290200,1.04,3903,36.8,38264,27.1
290400,1.03,3969,38.5,42708,30.2
300100,0.76,4210,29.6,30426,29.6
310200,0.99,3588,45.3,47554,27.8
310300,0.87,986,43.8,70221,26.5
320400,0.83,2114,40.4,45203,26.5
320600,0.92,2188,38.4,51383,26.7
320700,1.06,1436,43.3,47891,28.3
401100,0.88,4669,43.3,55154,20.3
401200,0.89,2967,44.7,30556,20.5
401300,0.90,2822,45.7,65175,27.4
402000,0.96,3220,38.5,40753,24.6
403500,1.01,4481,36.6,33026,29
404000,1.30,1407,41,48158,23.8
405000,1.05,1084,49.1,56058,24.2
406000,0.91,2366,50.9,59112,28.5
407001,0.92,5098,44.5,53445,35.3
407002,1.00,6802,44.7,67104,30.6
408001,1.04,5301,44.1,77684,27.3
408002,0.87,6188,41.8,98074,29.2
409000,1.02,12477,41.4,131484,30.6
410000,1.18,1230,46.6,103750,29.2
411000,1.04,7914,41.7,114917,27.3
412001,1.06,8875,43.1,115756,29.5
412002,1.05,5353,42.6,133884,27
413100,0.96,7148,41,104085,26.1
413201,0.81,3593,45.6,73750,24.1
413202,0.87,2750,46.7,71000,28.2
413300,0.90,4694,47.3,76932,25.8
413400,0.88,4292,47,88173,26.5
413500,1.07,6395,40,61416,27.4
414101,1.07,5394,45.2,89698,28.2
414102,0.84,7436,45.3,84184,27.7
414200,0.86,5642,45.6,73043,26
415001,0.97,4772,44.3,87596,27.2
415002,0.94,2515,50.1,92250,26.6
416000,0.97,1653,51.7,48750,25.1
417100,0.85,2069,50,53365,27.8
417200,0.64,1319,45.3,34055,27.4
418000,0.97,1804,49.8,55321,26.1
419000,0.81,3049,55.9,49643,24.2
420000,1.03,1670,36.8,39929,25.2
421100,0.96,4188,49,72450,23.9
421200,1.01,4341,48.3,92051,25
422000,0.96,5392,48.8,148553,25.3
423000,0.85,2773,37.9,66108,24.8
424000,1.08,3421,42.7,32431,22.9
425000,1.08,3415,36.4,44615,22.2
426300,0.95,6151,44.2,77057,27
426400,0.90,4215,46.2,61680,24.3
426700,0.93,2265,49.6,57885,22.6
426800,0.96,5490,47.9,79491,26.2
427000,1.05,3714,40.6,35496,25.6
427100,0.98,5489,47.4,78393,25.9
427200,1.04,4989,43.1,51315,23.7
428100,0.98,1163,48.5,54712,21.5
428200,1.01,2144,45.8,65000,21.7
429100,1.00,2703,40.2,68244,23.3
429201,0.92,4357,45.3,81033,25.8
429202,0.92,4469,42.4,72861,23.4
429300,0.93,5372,53.3,71890,25.4
429400,0.89,4513,40.2,68780,24.9
429500,0.89,4083,50.5,60506,25.2
429600,0.86,3077,37.3,58423,26
429700,0.77,2430,47.3,46071,23.2
430100,0.89,2100,34.9,54625,21.8
430200,1.08,4604,38.9,58218,23.2
431100,0.88,3317,36.3,41118,28.2
431400,0.95,1900,38.1,45882,25.9
431500,0.88,3068,43.2,38079,25.8
432300,0.74,2058,52.4,39265,27.6
432400,0.78,2608,38,39720,25.3
434000,0.85,1774,40,91250,26.8
435000,1.06,2443,38.7,55399,26
437000,1.00,5937,36.5,105919,26.1
439000,1.04,1422,46.8,92083,28.2
445500,0.92,3852,42.6,69625,25.1
446000,0.83,1639,45.2,154545,24.2
447000,0.89,1622,43.3,80192,27.8
448000,0.92,1287,42.2,46389,30.5
449000,0.91,2607,45,65179,26.7
450700,0.93,3146,39.7,42585,21.9
450800,0.98,2471,48.6,35722,23.4
451101,0.97,3733,42.7,81771,22.5
451102,1.04,5689,30.8,56375,25.4
451104,0.97,3546,40.9,103088,28
451105,1.12,5128,32.2,55081,26.6
451300,0.97,7339,44.5,106567,22.3
452000,0.89,5396,41.3,75968,24.7
453003,0.83,1912,44.3,57375,23.7
453004,0.98,7027,37.5,75297,24.7
455000,1.03,1508,47.1,58618,23.7
456001,0.97,3372,41.4,80050,24.2
456003,0.85,7230,38.1,94356,30.2
456004,0.86,4681,47,60740,23.5
457100,0.89,1516,43,40878,23.5
457200,0.89,3601,46.4,49545,23
458000,1.05,7755,49.9,68542,27.3
459101,0.90,1733,44.5,65000,23.5
459102,0.92,5917,47.6,93135,24
459201,1.06,6026,40.8,77388,25.8
459202,0.72,738,36.9,54779,24.3
460001,0.89,4653,48.8,64730,26.6
460002,0.95,3354,49.7,70060,24.9
461000,1.11,1145,47.1,44375,20.2
462100,0.91,2790,40.5,33333,20.8
462600,0.94,3499,36.3,36132,29.4
463900,1.03,2561,40.7,35804,20.8
464300,1.09,3294,41.9,48490,24.9
