NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 103, Allegheny County, Pennsylvania",6491,3655,2836,21.6,22292,42,3,10300,0.563087352,0.436912648,15.4,1517,39,28.7,10.2,5.7,48.1,1.3
"Census Tract 201, Allegheny County, Pennsylvania",4212,1959,2253,28.9,72642,42,3,20100,0.465099715,0.534900285,17.7,2492,36.7,31.5,5.3,10.7,43.9,1.2
"Census Tract 203, Allegheny County, Pennsylvania",821,439,382,34.3,93125,42,3,20300,0.534713764,0.465286236,18.6,677,65.1,57.3,7.8,8,13.1,1
"Census Tract 305, Allegheny County, Pennsylvania",2292,1069,1223,40.3,18730,42,3,30500,0.466404887,0.533595113,22.3,704,52.4,48.3,4.1,23.9,18.6,0
"Census Tract 402, Allegheny County, Pennsylvania",1609,530,1079,24,16250,42,3,40200,0.329397141,0.670602859,17.4,547,40.8,33.8,6.9,20.7,26.9,0
"Census Tract 404, Allegheny County, Pennsylvania",1977,922,1055,27.9,24803,42,3,40400,0.466363177,0.533636823,20.1,740,39.5,35.3,4.2,12.2,41.9,0
"Census Tract 405, Allegheny County, Pennsylvania",3724,1382,2342,21.4,17275,42,3,40500,0.371106337,0.628893663,16.1,1891,24.7,17.1,7.7,14.6,54.9,1.6
"Census Tract 406, Allegheny County, Pennsylvania",1938,978,960,22.2,19659,42,3,40600,0.504643963,0.495356037,20.1,1108,36.4,31.1,5.2,13.3,49.1,1.3
"Census Tract 409, Allegheny County, Pennsylvania",3007,1886,1121,23.2,21940,42,3,40900,0.627203193,0.372796807,20.2,1459,47.8,43,4.9,12.5,30.8,3.8
"Census Tract 501, Allegheny County, Pennsylvania",2087,737,1350,35.5,19608,42,3,50100,0.353138476,0.646861524,29.9,808,49.3,39.2,10,38.7,12,0
"Census Tract 506, Allegheny County, Pennsylvania",1772,665,1107,54.2,36642,42,3,50600,0.375282167,0.624717833,19.7,655,56.2,40.9,15.3,16.2,17.6,0
"Census Tract 509, Allegheny County, Pennsylvania",1367,525,842,26.3,14281,42,3,50900,0.38405267,0.61594733,26.9,349,42.7,22.9,19.8,48.4,8.9,0
"Census Tract 510, Allegheny County, Pennsylvania",2163,1066,1097,19.9,16373,42,3,51000,0.492834027,0.507165973,18.3,740,34.9,30.8,4.1,32.7,29.5,0
"Census Tract 511, Allegheny County, Pennsylvania",187,95,92,38.8,20313,42,3,51100,0.50802139,0.49197861,-999999999,51,19.6,19.6,0,80.4,0,0
"Census Tract 603, Allegheny County, Pennsylvania",2533,1237,1296,33.3,51964,42,3,60300,0.488353731,0.511646269,22.3,1566,52.5,44.6,7.9,14.1,21.2,4.4
"Census Tract 605, Allegheny County, Pennsylvania",1299,677,622,37.2,36786,42,3,60500,0.521170131,0.478829869,17.8,832,59.5,48,11.5,15.1,14.1,4.2
"Census Tract 703, Allegheny County, Pennsylvania",2024,893,1131,29.4,56136,42,3,70300,0.441205534,0.558794466,19.6,1189,60.9,51.8,9.1,16.3,13.3,1.7
"Census Tract 705, Allegheny County, Pennsylvania",3161,1485,1676,27.3,50838,42,3,70500,0.469788042,0.530211958,22.8,2145,58.2,52.8,5.4,25.5,10.9,2.5
"Census Tract 706, Allegheny County, Pennsylvania",1978,1027,951,29.6,48719,42,3,70600,0.519211325,0.480788675,22.2,1379,56.6,53.7,2.9,31.4,7.1,3.1
"Census Tract 708, Allegheny County, Pennsylvania",1851,944,907,30.5,50972,42,3,70800,0.509994598,0.490005402,23.8,987,59.4,52.8,6.6,25.1,8.3,1.4
"Census Tract 709, Allegheny County, Pennsylvania",4594,2590,2004,27.4,30359,42,3,70900,0.563778842,0.436221158,21.7,2450,38.9,32.1,6.8,27.1,26.2,3.7
"Census Tract 802, Allegheny County, Pennsylvania",1640,796,844,33.1,40784,42,3,80200,0.485365854,0.514634146,29.8,1008,53.5,45.5,7.9,17.9,17.9,4.2
"Census Tract 804, Allegheny County, Pennsylvania",1469,957,512,28.4,32750,42,3,80400,0.651463581,0.348536419,20.3,946,49.4,38.6,10.8,19.2,17,5.7
"Census Tract 806, Allegheny County, Pennsylvania",2098,996,1102,30.8,55611,42,3,80600,0.474737846,0.525262154,23.7,1378,51.5,44.8,6.7,17.5,16.3,12.6
"Census Tract 807, Allegheny County, Pennsylvania",1927,870,1057,30,35057,42,3,80700,0.451478983,0.548521017,21.3,1238,38.4,30.4,8.1,23.8,20,13.4
"Census Tract 809, Allegheny County, Pennsylvania",1788,862,926,31.7,51458,42,3,80900,0.482102908,0.517897092,23.5,1217,52.8,44.3,8.5,24.3,13.1,6.7
"Census Tract 901, Allegheny County, Pennsylvania",1858,948,910,33.2,52708,42,3,90100,0.51022605,0.48977395,25.4,1237,71,62.9,8.1,12.3,4.4,7.7
"Census Tract 902, Allegheny County, Pennsylvania",2789,1325,1464,38.6,53115,42,3,90200,0.475080674,0.524919326,22.1,1636,56.7,50.4,6.4,18,17.1,1.9
"Census Tract 903, Allegheny County, Pennsylvania",1680,835,845,31.9,37372,42,3,90300,0.49702381,0.50297619,23.2,867,54.1,51.2,2.9,24.5,11.4,8.1
