0,1,2,3,4
NAME,S0801_C01_046E,state,county,tract
"Census Tract 103, Allegheny County, Pennsylvania",15.4,42,003,010300
"Census Tract 201, Allegheny County, Pennsylvania",17.7,42,003,020100
"Census Tract 203, Allegheny County, Pennsylvania",18.6,42,003,020300
"Census Tract 305, Allegheny County, Pennsylvania",22.3,42,003,030500
"Census Tract 402, Allegheny County, Pennsylvania",17.4,42,003,040200
"Census Tract 404, Allegheny County, Pennsylvania",20.1,42,003,040400
"Census Tract 405, Allegheny County, Pennsylvania",16.1,42,003,040500
"Census Tract 406, Allegheny County, Pennsylvania",20.1,42,003,040600
"Census Tract 409, Allegheny County, Pennsylvania",20.2,42,003,040900
"Census Tract 501, Allegheny County, Pennsylvania",29.9,42,003,050100
"Census Tract 506, Allegheny County, Pennsylvania",19.7,42,003,050600
"Census Tract 509, Allegheny County, Pennsylvania",26.9,42,003,050900
"Census Tract 510, Allegheny County, Pennsylvania",18.3,42,003,051000
"Census Tract 511, Allegheny County, Pennsylvania",-999999999.0,42,003,051100
"Census Tract 603, Allegheny County, Pennsylvania",22.3,42,003,060300
"Census Tract 605, Allegheny County, Pennsylvania",17.8,42,003,060500
"Census Tract 703, Allegheny County, Pennsylvania",19.6,42,003,070300
"Census Tract 705, Allegheny County, Pennsylvania",22.8,42,003,070500
"Census Tract 706, Allegheny County, Pennsylvania",22.2,42,003,070600
"Census Tract 708, Allegheny County, Pennsylvania",23.8,42,003,070800
"Census Tract 709, Allegheny County, Pennsylvania",21.7,42,003,070900
"Census Tract 802, Allegheny County, Pennsylvania",29.8,42,003,080200
"Census Tract 804, Allegheny County, Pennsylvania",20.3,42,003,080400
"Census Tract 806, Allegheny County, Pennsylvania",23.7,42,003,080600
"Census Tract 807, Allegheny County, Pennsylvania",21.3,42,003,080700
"Census Tract 809, Allegheny County, Pennsylvania",23.5,42,003,080900
"Census Tract 901, Allegheny County, Pennsylvania",25.4,42,003,090100
"Census Tract 902, Allegheny County, Pennsylvania",22.1,42,003,090200
"Census Tract 903, Allegheny County, Pennsylvania",23.2,42,003,090300
"Census Tract 1005, Allegheny County, Pennsylvania",22.9,42,003,100500
"Census Tract 1011, Allegheny County, Pennsylvania",23.9,42,003,101100
"Census Tract 1014, Allegheny County, Pennsylvania",24.5,42,003,101400
"Census Tract 1016, Allegheny County, Pennsylvania",31.0,42,003,101600
"Census Tract 1017, Allegheny County, Pennsylvania",21.9,42,003,101700
"Census Tract 1018, Allegheny County, Pennsylvania",22.4,42,003,101800
"Census Tract 1102, Allegheny County, Pennsylvania",25.2,42,003,110200
"Census Tract 1106, Allegheny County, Pennsylvania",23.4,42,003,110600
"Census Tract 1113, Allegheny County, Pennsylvania",28.7,42,003,111300
"Census Tract 1114, Allegheny County, Pennsylvania",27.6,42,003,111400
"Census Tract 1115, Allegheny County, Pennsylvania",21.7,42,003,111500
"Census Tract 1203, Allegheny County, Pennsylvania",29.1,42,003,120300
"Census Tract 1204, Allegheny County, Pennsylvania",31.3,42,003,120400
"Census Tract 1207, Allegheny County, Pennsylvania",19.4,42,003,120700
"Census Tract 1208, Allegheny County, Pennsylvania",34.7,42,003,120800
"Census Tract 1301, Allegheny County, Pennsylvania",24.8,42,003,130100
"Census Tract 1302, Allegheny County, Pennsylvania",29.0,42,003,130200
"Census Tract 1303, Allegheny County, Pennsylvania",25.7,42,003,130300
"Census Tract 1304, Allegheny County, Pennsylvania",24.4,42,003,130400
"Census Tract 1306, Allegheny County, Pennsylvania",30.1,42,003,130600
"Census Tract 1401, Allegheny County, Pennsylvania",16.1,42,003,140100
"Census Tract 1402, Allegheny County, Pennsylvania",19.0,42,003,140200
