"","NAME","state","county","tract","B05004_001E"
"1","Census Tract 103, Allegheny County, Pennsylvania","42","003","010300",21.6
"2","Census Tract 201, Allegheny County, Pennsylvania","42","003","020100",28.9
"3","Census Tract 203, Allegheny County, Pennsylvania","42","003","020300",34.3
"4","Census Tract 305, Allegheny County, Pennsylvania","42","003","030500",40.3
"5","Census Tract 402, Allegheny County, Pennsylvania","42","003","040200",24
"6","Census Tract 404, Allegheny County, Pennsylvania","42","003","040400",27.9
"7","Census Tract 405, Allegheny County, Pennsylvania","42","003","040500",21.4
"8","Census Tract 406, Allegheny County, Pennsylvania","42","003","040600",22.2
"9","Census Tract 409, Allegheny County, Pennsylvania","42","003","040900",23.2
"10","Census Tract 501, Allegheny County, Pennsylvania","42","003","050100",35.5
"11","Census Tract 506, Allegheny County, Pennsylvania","42","003","050600",54.2
"12","Census Tract 509, Allegheny County, Pennsylvania","42","003","050900",26.3
"13","Census Tract 510, Allegheny County, Pennsylvania","42","003","051000",19.9
"14","Census Tract 511, Allegheny County, Pennsylvania","42","003","051100",38.8
"15","Census Tract 603, Allegheny County, Pennsylvania","42","003","060300",33.3
"16","Census Tract 605, Allegheny County, Pennsylvania","42","003","060500",37.2
"17","Census Tract 703, Allegheny County, Pennsylvania","42","003","070300",29.4
"18","Census Tract 705, Allegheny County, Pennsylvania","42","003","070500",27.3
"19","Census Tract 706, Allegheny County, Pennsylvania","42","003","070600",29.6
"20","Census Tract 708, Allegheny County, Pennsylvania","42","003","070800",30.5
"21","Census Tract 709, Allegheny County, Pennsylvania","42","003","070900",27.4
"22","Census Tract 802, Allegheny County, Pennsylvania","42","003","080200",33.1
"23","Census Tract 804, Allegheny County, Pennsylvania","42","003","080400",28.4
"24","Census Tract 806, Allegheny County, Pennsylvania","42","003","080600",30.8
"25","Census Tract 807, Allegheny County, Pennsylvania","42","003","080700",30
"26","Census Tract 809, Allegheny County, Pennsylvania","42","003","080900",31.7
"27","Census Tract 901, Allegheny County, Pennsylvania","42","003","090100",33.2
"28","Census Tract 902, Allegheny County, Pennsylvania","42","003","090200",38.6
"29","Census Tract 903, Allegheny County, Pennsylvania","42","003","090300",31.9
"30","Census Tract 1005, Allegheny County, Pennsylvania","42","003","100500",39.4
"31","Census Tract 1011, Allegheny County, Pennsylvania","42","003","101100",31.8
"32","Census Tract 1014, Allegheny County, Pennsylvania","42","003","101400",39.1
"33","Census Tract 1016, Allegheny County, Pennsylvania","42","003","101600",22.9
"34","Census Tract 1017, Allegheny County, Pennsylvania","42","003","101700",35.9
"35","Census Tract 1018, Allegheny County, Pennsylvania","42","003","101800",44.7
"36","Census Tract 1102, Allegheny County, Pennsylvania","42","003","110200",35.7
"37","Census Tract 1106, Allegheny County, Pennsylvania","42","003","110600",36.2
"38","Census Tract 1113, Allegheny County, Pennsylvania","42","003","111300",34.3
"39","Census Tract 1114, Allegheny County, Pennsylvania","42","003","111400",36.2
"40","Census Tract 1115, Allegheny County, Pennsylvania","42","003","111500",30.9
