0,1,2,3,4
NAME,S0101_C01_001E,state,county,tract
"Census Tract 103, Allegheny County, Pennsylvania",6491,42,003,010300
"Census Tract 201, Allegheny County, Pennsylvania",4212,42,003,020100
"Census Tract 203, Allegheny County, Pennsylvania",821,42,003,020300
"Census Tract 305, Allegheny County, Pennsylvania",2292,42,003,030500
"Census Tract 402, Allegheny County, Pennsylvania",1609,42,003,040200
"Census Tract 404, Allegheny County, Pennsylvania",1977,42,003,040400
"Census Tract 405, Allegheny County, Pennsylvania",3724,42,003,040500
"Census Tract 406, Allegheny County, Pennsylvania",1938,42,003,040600
"Census Tract 409, Allegheny County, Pennsylvania",3007,42,003,040900
"Census Tract 501, Allegheny County, Pennsylvania",2087,42,003,050100
"Census Tract 506, Allegheny County, Pennsylvania",1772,42,003,050600
"Census Tract 509, Allegheny County, Pennsylvania",1367,42,003,050900
"Census Tract 510, Allegheny County, Pennsylvania",2163,42,003,051000
"Census Tract 511, Allegheny County, Pennsylvania",187,42,003,051100
"Census Tract 603, Allegheny County, Pennsylvania",2533,42,003,060300
"Census Tract 605, Allegheny County, Pennsylvania",1299,42,003,060500
"Census Tract 703, Allegheny County, Pennsylvania",2024,42,003,070300
"Census Tract 705, Allegheny County, Pennsylvania",3161,42,003,070500
"Census Tract 706, Allegheny County, Pennsylvania",1978,42,003,070600
"Census Tract 708, Allegheny County, Pennsylvania",1851,42,003,070800
"Census Tract 709, Allegheny County, Pennsylvania",4594,42,003,070900
"Census Tract 802, Allegheny County, Pennsylvania",1640,42,003,080200
"Census Tract 804, Allegheny County, Pennsylvania",1469,42,003,080400
"Census Tract 806, Allegheny County, Pennsylvania",2098,42,003,080600
"Census Tract 807, Allegheny County, Pennsylvania",1927,42,003,080700
"Census Tract 809, Allegheny County, Pennsylvania",1788,42,003,080900
"Census Tract 901, Allegheny County, Pennsylvania",1858,42,003,090100
"Census Tract 902, Allegheny County, Pennsylvania",2789,42,003,090200
"Census Tract 903, Allegheny County, Pennsylvania",1680,42,003,090300
"Census Tract 1005, Allegheny County, Pennsylvania",2145,42,003,100500
"Census Tract 1011, Allegheny County, Pennsylvania",2536,42,003,101100
"Census Tract 1014, Allegheny County, Pennsylvania",3299,42,003,101400
"Census Tract 1016, Allegheny County, Pennsylvania",1071,42,003,101600
"Census Tract 1017, Allegheny County, Pennsylvania",1405,42,003,101700
"Census Tract 1018, Allegheny County, Pennsylvania",2539,42,003,101800
"Census Tract 1102, Allegheny County, Pennsylvania",4326,42,003,110200
"Census Tract 1106, Allegheny County, Pennsylvania",2559,42,003,110600
"Census Tract 1113, Allegheny County, Pennsylvania",2698,42,003,111300
"Census Tract 1114, Allegheny County, Pennsylvania",1388,42,003,111400
"Census Tract 1115, Allegheny County, Pennsylvania",3000,42,003,111500
"Census Tract 1203, Allegheny County, Pennsylvania",1661,42,003,120300
"Census Tract 1204, Allegheny County, Pennsylvania",694,42,003,120400
"Census Tract 1207, Allegheny County, Pennsylvania",863,42,003,120700
"Census Tract 1208, Allegheny County, Pennsylvania",758,42,003,120800
"Census Tract 1301, Allegheny County, Pennsylvania",1757,42,003,130100
"Census Tract 1302, Allegheny County, Pennsylvania",1518,42,003,130200
"Census Tract 1303, Allegheny County, Pennsylvania",1413,42,003,130300
